# id	alt	name	kind	ra_deg	dec_deg	mag	major_arcmin	minor_arcmin	pa_deg	constellation
M93	NGC 2447	Critter Cluster	OC	116.14083	-23.85306	6.2	22.0	22.0	0	Pup
M94	NGC 4736	Crocodile Eye or Cat's Eye Galaxy	Gx	192.72114	41.12025	8.1	11.0	9.0	100	CVn
M95	NGC 3351		Gx	160.99055	11.70369	9.7	7.0	5.0	119	Leo
M96	NGC 3368		Gx	161.69060	11.81994	9.2	7.0	5.0	154	Leo
M97	NGC 3587	Owl Nebula	PN	168.69880	55.01902	11.2	3.0	3.0	90	UMa
M98	NGC 4192		Gx	183.45121	14.90054	10.1	10.0	3.0	151	Com
M99	NGC 4254	St. Catherine's Wheel	Gx	184.70677	14.41649	9.8	5.0	5.0	63	Com
M100	NGC 4321	Mirror Galaxy	Gx	185.72887	15.82230	9.4	7.0	6.0	79	Com
M101	NGC 5457	Pinwheel Galaxy	Gx	210.80243	54.34875	7.7	27.0	26.0		UMa
M102	NGC 5866	Spindle Galaxy	Gx	226.62317	55.76331	9.9	4.7	1.9	128	Dra
M103	NGC 581		OC	23.33917	60.65889	7.4	6.0	6.0	0	Cas
M104	NGC 4594	Sombrero Galaxy	Gx	189.99763	-11.62305	8.3	9.0	4.0	90	Vir
M105	NGC 3379		Gx	161.95667	12.58163	9.3	4.0	4.0		Leo
M106	NGC 4258		Gx	184.74008	47.30372	8.3	18.0	8.0		CVn
M107	NGC 6171	Crucifix Cluster	GC	248.13275	-13.05378	8.1	10.0	10.0	90	Oph
M108	NGC 3556	Surfboard Galaxy	Gx	167.87903	55.67412	10.0	8.0	2.0	80	UMa
M109	NGC 3992	Vacuum Cleaner Galaxy	Gx	179.39985	53.37472	9.8	8.0	5.0	49	UMa
M110	NGC 205	Andromeda Satellite #2	Gx	10.09191	41.68542	8.0	17.0	10.0	-15	And
C1	NGC 188	Polarissima Cluster	OC	11.79792	85.24389	8.1	32.6	32.6	0	Cep
C2	NGC 40	Bow-Tie Nebula	PN	3.25424	72.52195	11.0	0.1	0.8	44	Cep
C3	NGC 4236		Gx	184.17549	69.46257	9.7	12.5	3.0	158	Dra
C4	NGC 7023	Iris Nebula	CN	315.40375	68.16333	7.0	18.0	18.0		Cep
C5	IC 342	Hidden Galaxy	Gx	56.70214	68.09611	9.0	21.9	20.9		Cam
C6	NGC 6543	Cat's Eye Nebula	PN	269.63918	66.63299	9.0	0.6	0.5	10	Dra
C7	NGC 2403		Gx	114.21391	65.60268	8.4	10.2	5.9	123	Cam
C8	NGC 559		OC	22.38708	63.30111	9.5	9.7	9.7	0	Cas
C9	Sh2-155	Cave Nebula	Neb	344.27462	62.63592	7.7	5.2	3.6	90	Cep
C10	NGC 663		OC	26.58750	61.21167	7.1	18.0	18.0	0	Cas
C11	NGC 7635	Bubble Nebula	Neb	350.20125	61.20167	10.0	9.0	9.0	32767	Cas
C12	NGC 6946	Fireworks Galaxy	Gx	308.71805	60.15368	8.9	11.5	10.7		Cep
C13	NGC 457	Owl Cluster, E.T. Cluster	OC	19.88708	58.27806	6.4	15.0	15.0	0	Cas
C14	NGC 869 & NGC 884	Double Cluster, h & χ Persei	OC	34.74083	57.13389	4.0	16.3	16.3	0	Per
C15	NGC 6826	Blinking Planetary	PN	296.20063	50.52507	10.0	0.7	0.6	90	Cyg
C16	NGC 7243		OC	333.78750	49.83000	6.4	30.6	30.6	0	Lac
C17	NGC 147		Gx	8.30050	48.50874	9.3	12.6	7.1	25	Cas
C18	NGC 185		Gx	9.74142	48.33751	9.2	11.5	9.6	35	Cas
C19	IC 5146	Cocoon Nebula	CN	328.37200	47.24600	7.2	8.2	8.2	0	Cyg
C20	NGC 7000	North America Nebula	Neb	314.69583	44.33000	4.0	120.0	100.0		Cyg
C21	NGC 4449		Gx	187.04632	44.09356	9.4	6.7	4.0	49	CVn
C22	NGC 7662	Blue Snowball	PN	351.47430	42.53495	9.0	0.4	0.4	60	And
C23	NGC 891	Silver Sliver Galaxy	Gx	35.63711	42.34832	10.0	12.3	2.5	22	And
C24	NGC 1275	Perseus A	Gx	49.95067	41.51170	11.6	2.6	1.8	110	Per
C25	NGC 2419		GC	114.53546	38.88192	10.4	4.1	4.1	90	Lyn
C26	NGC 4244		Gx	184.37358	37.80711	10.2	19.1	2.7	47	CVn
C27	NGC 6888	Crescent Nebula	Neb	303.02726	38.35494	7.4	18.0	13.0		Cyg
C28	NGC 752		OC	29.22292	37.79389	5.7	58.2	58.2	0	And
C29	NGC 5005		Gx	197.73463	37.05894	9.8	7.1	3.2	66	CVn
C30	NGC 7331		Gx	339.26688	34.41578	9.5	10.5	4.2	171	Peg
C31	IC 405	Flaming Star Nebula	Neb	79.35000	34.38333	13.0	30.0	19.0		Aur
C32	NGC 4631	Whale Galaxy	Gx	190.53337	32.54151	9.3	16.6	3.1	85	CVn
C33	NGC 6992	East Veil Nebula	SNR	314.07917	31.74333	7.0	60.0	8.0		Cyg
C34	NGC 6960	West Veil Nebula	SNR	311.40833	30.70833	7.0	70.0	6.0		Cyg
C35	NGC 4889	Coma B	Gx	195.03374	27.97702	11.4	2.9	1.8	75	Com
C36	NGC 4559		Gx	188.99017	27.95996	9.9	7.2	3.0	142	Com
C37	NGC 6885		OC	303.00417	26.47833	6.0	15.0	15.0	90	Vul
C38	NGC 4565	Needle Galaxy	Gx	189.08668	25.98739	9.6	13.8	2.2	135	Com
C39	NGC 2392	Eskimo Nebula, Clown Face Nebula	PN	112.29486	20.91180	10.0	0.3	0.3	72	Gem
C40	NGC 3626		Gx	170.01586	18.35682	10.9	3.0	1.9	162	Leo
C41	Mel 25	Hyades	OC	67.44708	16.94806	0.5	330.0	330.0		Tau
C42	NGC 7006		GC	315.37277	16.18791	10.6	1.1	1.0	85	Del
C43	NGC 7814		Gx	0.81228	16.14523	10.5	6.8	3.3	134	Peg
C44	NGC 7479	Superman Galaxy	Gx	346.23601	12.32288	11.0	5.6	2.6	15	Peg
C45	NGC 5248		Gx	204.38339	8.88514	10.2	4.6	3.1	124	Boo
C46	NGC 2261	Hubble's Variable Nebula	Neb	99.79148	8.73598	11.8	2.0	1.0		Mon
C47	NGC 6934		GC	308.54737	7.40447	8.9	5.9	5.9	90	Del
C48	NGC 2775		Gx	137.58389	7.03802	10.3	4.9	3.9	166	Cnc
C49	NGC 2237	Rosette Nebula	Neb	97.65042	4.98072	9.0	80.0	60.0		Mon
C50	NGC 2244	Satellite Cluster	OC	98.04500	4.91389	4.8	88.0	88.0	0	Mon
C51	IC 1613		Gx	16.20170	2.11950	9.3	16.2	14.5	50	Cet
C52	NGC 4697		Gx	192.14958	-5.80069	9.3	7.6	5.0	64	Vir
C53	NGC 3115	Spindle Galaxy	Gx	151.30803	-7.71861	9.2	13.3	5.3	44	Sex
C54	NGC 2506		OC	120.01000	-10.77306	7.6	10.6	10.6	0	Mon
C55	NGC 7009	Saturn Nebula	PN	316.04506	-11.36349	8.0	0.7	0.5	70	Aqr
C56	NGC 246	Skull Nebula	PN	11.76393	-11.87194	8.0	3.7	3.7	90	Cet
C57	NGC 6822	Barnard's Galaxy	Gx	296.23416	-14.79758	9.0	13.8	12.9		Sge
C58	NGC 2360	Caroline's Cluster	OC	109.44292	-15.63111	7.2	18.5	18.5	0	CMa
C59	NGC 3242	Ghost of Jupiter	PN	156.19222	-18.64230	9.0	0.1	0.5	31	Hya
C60	NGC 4038	Antennae Galaxies	Gx	180.47084	-18.86759	10.7	5.2	3.1	80	Crv
C61	NGC 4039	Antennae Galaxies	Gx	180.47296	-18.88619	13.0	3.1	1.6	50	Crv
C62	NGC 247		Gx	11.78564	-20.76040	8.9	17.0	6.0	178	Cet
C63	NGC 7293	Helix Nebula	PN	337.41061	-20.83715	7.3	13.4	13.4	90	Aqr
C64	NGC 2362	Tau Canis Majoris Cluster	CN	109.67083	-24.95389	4.1	104.0	104.0	0	CMa
C65	NGC 253	Sculptor Galaxy	Gx	11.88806	-25.28880	7.1	28.8	5.9	53	Scl
C66	NGC 5694		GC	219.90217	-26.53833	10.2	3.6	3.6	90	Hya
C67	NGC 1097		Gx	41.57941	-30.27491	9.3	10.6	5.7	147	For
C68	NGC 6729	R CrA Nebula	Neb	285.44333	-36.96111	9.7	1.0	1.0		CrA
C69	NGC 6302	Bug Nebula	PN	258.43540	-37.10310	13.0	0.5	0.4	68	Sco
C70	NGC 300	Sculptor Pinwheel Galaxy	Gx	13.72269	-37.68421	9.0	20.9	13.5	114	Scl
C71	NGC 2477		OC	118.04583	-38.53694	5.8	18.0	18.0	0	Pup
C72	NGC 55	String of Pearls Galaxy	Gx	3.72334	-39.19663	8.0	32.4	4.0	101	Scl
C73	NGC 1851		GC	78.52817	-40.04656	7.3	11.0	11.0	90	Col
C74	NGC 3132	Eight Burst Nebula	PN	151.75736	-40.43643	8.0	0.8	0.8	90	Vel
C75	NGC 6124		OC	246.33208	-40.66111	5.8	48.1	48.1	0	Sco
C76	NGC 6231		CN	253.54500	-41.81194	2.6	120.0	120.0	0	Sco
C77	NGC 5128	Centaurus A	Gx	201.36506	-43.01911	7.0	25.7	17.8	33	Cen
C78	NGC 6541		GC	272.00983	-43.71489	6.6	13.1	13.1	90	CrA
C79	NGC 3201		GC	154.40342	-46.41247	6.8	18.2	18.2	90	Vel
C80	NGC 5139	Omega Centauri	GC	201.69700	-47.47947	3.7	36.3	36.3	90	Cen
C81	NGC 6352		GC	261.37129	-48.42217	8.2	7.1	7.1	90	Ara
C82	NGC 6193		OC	250.31917	-48.77694	5.2	18.7	18.7	0	Ara
C83	NGC 4945		Gx	196.36366	-49.46790	9.0	20.4	4.3	43	Cen
C84	NGC 5286		GC	206.61171	-51.37425	7.6	9.1	9.1	90	Cen
C85	IC 2391	Omicron Velorum Cluster	OC	130.29208	-52.99111	2.5	97.7	97.7	0	Vel
C86	NGC 6397		GC	265.17538	-53.67433	5.7	25.7	25.7	90	Ara
C87	NGC 1261		GC	48.06754	-55.21622	8.4	6.9	6.9	90	Hor
C88	NGC 5823		OC	226.36500	-55.60806	7.9	16.1	16.1	0	Cir
C89	NGC 6087{{efn|C89 was mistakenly written as NGC 6067 in the original, but its description is that of NGC 6087.}}	S Normae Cluster	OC	244.72083	-57.91611	5.4	29.5	29.5	0	Nor
C90	NGC 2867		PN	140.35576	-58.31129	10.0	0.3	0.3	-42	Car
C91	NGC 3532	Wishing Well Cluster	OC	166.41708	-58.70694	3.0	64.3	64.3	0	Car
C92	NGC 3372	Eta Carinae Nebula	Neb	161.25929	-59.69994	3.0	120.0	120.0		Car
C93	NGC 6752	Great Peacock Globular	GC	287.71712	-59.98456	5.4	20.4	20.4	90	Pav
C94	NGC 4755	Jewel Box	OC	193.41500	-60.37111	4.2	10.3	10.3	0	Cru
C95	NGC 6025		OC	240.77917	-60.43000	5.1	35.0	35.0	0	Tri
C96	NGC 2516	Southern Beehive Cluster	OC	119.52708	-60.80000	3.8	59.5	59.5	0	Car
C97	NGC 3766	Pearl Cluster	OC	174.06083	-61.61611	5.3	13.9	13.9	0	Cen
C98	NGC 4609		OC	190.58208	-62.99500	6.9	13.0	13.0	90	Cru
C99	-	Coalsack Nebula	DN	187.82917	-63.74333		420.0	300.0		Cru
C100	IC 2944	Lambda Centauri Nebula	CN	174.58333	-63.37278	4.5	75.0	75.0		Cen
C101	NGC 6744		Gx	287.44222	-63.85747	9.0	17.4	11.0	16	Pav
C102	IC 2602	Theta Car Cluster	OC	160.61292	-64.42611	1.9	173.9	173.9	0	Car
C103	NGC 2070	Tarantula Nebula	CN	84.67500	-69.10000	8.2	3.5	3.5		Dor
C104	NGC 362		GC	15.80942	-70.84878	6.6	12.9	12.9	90	Tuc
C105	NGC 4833		GC	194.89133	-70.87650	7.4	13.5	13.5	90	Mus
C106	NGC 104	47 Tucanae	GC	6.02233	-72.08144	4.0	43.8	43.8	0	Tuc
C107	NGC 6101		GC	246.45050	-72.20219	9.3	10.7	10.7	90	Aps
C108	NGC 4372		GC	186.43929	-72.65908	7.8	24.0	24.0	0	Mus
C109	NGC 3195		PN	152.33713	-80.85854	11.6	0.7	0.7	90	Cha
