# ra,dec,mag,bv,spectral,hd,hip,dist_pc,name  (dist_pc 0 = unknown)
151.8333,16.7628,3.52,-0.03,A0Ib,87737,49583,,
342.4200,66.2006,3.52,1.05,K0-III,216228,112724,35.37,
67.1542,19.1803,3.53,1.01,G9.5IIICN0.5,28305,20889,47.53,Ain
110.0308,21.9822,3.53,0.34,F2IV,56986,35550,18.03,Wasat
237.4050,-3.4303,3.53,-0.04,A0V,141513,77516,47.76,
250.7242,38.9222,3.53,0.92,G7.5IIIbFe-1,150997,81833,34.35,
332.5500,6.1978,3.53,0.08,A2Vp,210418,109427,29.61,Biham
55.8121,-9.7633,3.54,0.92,K0+IV,23249,17378,9.04,Rana
83.7846,9.9342,3.54,-0.18,O8III((f)),36861,26207,,Meissa
149.2158,-54.5678,3.54,-0.08,B5Ib,86440,48774,,
173.2504,-31.8578,3.54,0.94,G7III,100407,56343,39.64,
264.3967,-15.3986,3.54,0.26,F0IVDel Sct,159876,86263,32.33,
86.7387,-14.8219,3.55,0.1,A3Vn,38678,27288,21.52,
214.8508,-46.0578,3.55,-0.18,B2.5IV,125238,69996,107.87,
4.8571,-8.8239,3.56,1.22,K1.5III,1522,1562,88.81,
34.1275,-51.5122,3.56,-0.12,B8V-IV,14228,10602,47.48,
64.4737,-33.7983,3.56,-0.12,B9V,27376,20042,54.73,
169.8354,-14.7786,3.56,1.12,G8III-IV,98430,55282,59.7,
230.4517,-36.2614,3.56,1.54,K5III,136422,75177,100.1,
302.1817,-66.1819,3.56,0.76,G6-8IV,190248,99240,6.11,
24.4983,48.6283,3.57,1.28,K3-III,9927,7607,53.3,Nembus
116.1117,24.3981,3.57,0.93,G8IIIa,62345,37740,43.99,
253.0838,-38.0175,3.57,-0.21,B2IV,151985,82545,158.48,Pipirima
275.2642,72.7328,3.57,0.49,F7V,170153,89937,8.06,
304.5137,-12.5447,3.57,0.94,G8IIIb,192947,100064,33.32,Algedi
109.5233,16.5403,3.58,0.11,A3V,56537,35350,28.91,
217.9575,30.3714,3.58,1.3,K3-III,127665,71053,45.62,
234.2562,-28.1350,3.58,1.38,K3III,139063,76470,59.67,
185.3400,-60.4011,3.59,1.42,K3-4III,107446,60260,69.93,Ginan
21.0058,-8.1833,3.60,1.06,K0III-IIIb,8512,6537,35.11,
51.2033,9.0289,3.60,0.89,G6IIIFe-1,21120,15900,64.85,
79.4017,-6.8444,3.60,-0.11,B5III,34503,24674,170.07,
86.1158,-22.4483,3.60,0.47,F6V,38393,27072,8.97,
103.1971,33.9611,3.60,0.1,A3III,50019,33018,60.28,
135.9062,47.1567,3.60,0.0,A1Vn,77327,44471,129.7,Alkaphrah
142.6750,-40.4667,3.60,0.36,F3IV+F0IV,82434,46651,18.56,
116.3137,-37.9686,3.61,1.73,K2.5Ib-II,63032,37819,,
152.6471,-12.3542,3.61,1.01,K0IIICN1,88284,49841,35.16,
177.6738,1.7647,3.61,0.55,F9V,102870,57757,10.9,Zavijava
22.8708,15.3458,3.62,0.97,G7IIIa,9270,7097,90.17,Alpherg
130.0733,-52.9219,3.62,-0.18,B3IV,74195,42536,151.75,
195.5675,-71.5489,3.62,1.18,K2III,112985,63613,27.85,
253.6458,-42.3614,3.62,1.37,K4III,152334,82729,46.15,
262.7746,-60.6839,3.62,-0.1,B8Vn,158094,85727,57.41,
266.4333,-64.7239,3.62,1.19,K2II,160635,86929,113.77,
345.4804,42.3261,3.62,-0.09,B6IIIpe+A2p,217675,113726,212.31,
42.4958,27.2606,3.63,-0.1,B8Vn,17573,13209,48.9,Bharani
57.2904,24.0533,3.63,-0.09,B8III,23850,17847,116.69,Atlas
309.3875,14.5953,3.63,0.44,F5IV,196524,101769,29.86,Rotanev
176.4017,-66.7286,3.64,0.16,A7III,102249,57363,39.34,
64.9483,15.6275,3.65,0.99,K0-IIIabCN1,27371,20205,47.24,Prima Hyadum
190.4150,-1.4494,3.65,0.36,F0V,110379,61941,11.83,Porrima
211.0971,64.3758,3.65,-0.05,A0III,123299,68756,94.7,Thuban
313.7025,-58.4542,3.65,1.25,K1II,198700,103227,184.84,
9.2429,53.8969,3.66,-0.2,B2IV,3360,2920,183.15,Fulu
234.6642,-29.7778,3.66,-0.17,B2.5V,139365,76600,136.43,
271.6579,-50.0917,3.66,-0.08,B2Ib,165024,88714,,
347.3617,-21.1725,3.66,1.22,K1III,218594,114341,71.63,
142.8821,63.0619,3.67,0.33,F0IV,81937,46733,23.15,
236.5471,15.4219,3.67,0.06,A2IV,141003,77233,46.93,
130.8979,-33.1864,3.68,-0.18,B1.5III,74575,42828,259.07,
190.4150,-1.4494,3.68,,F0V,110380,,,
231.9571,29.1058,3.68,0.28,F0p,137909,75695,34.97,Nusakan
325.0229,-16.6622,3.68,0.32,F0p,206088,106985,42.59,Nashira
49.8792,-21.7578,3.69,1.62,M3.5IIIaCa-1,20720,15474,79.18,
72.8017,5.6050,3.69,-0.17,B2III+B2IV,30836,22549,,
146.3117,-62.5078,3.69,1.22,G5Iab-Ib,84810,47854,,
